"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
170362, 05MAY21, 06MAY21, S1,99999,  D,4,  , ST,   , WLV  ,  ROP,0,0,100,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170366, 21MAY21, 21MAY21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170371, 11MAY21, 11MAY21, S1,99999,  I,11,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170372, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170373, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170375, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170376, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170377, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170378, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170379, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170380, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170381, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170382, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
